ENVO:00000004	administrative region	GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4	ADMINISTRATIVE DIVISIONS	administrative divis		info(related-label,rdf(ENVO:00000004-administrative region,oio:hasRelatedSynonym-has_related_synonym,administrative division-administrative division^^xsd:string)-rdf(GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4-ADMINISTRATIVE DIVISIONS,skos:prefLabel,(ADMINISTRATIVE DIVISIONS-ADMINISTRATIVE DIVISIONS)@en),stem)	
ENVO:00000073	building	GCMD:d7742082-5461-4610-9ced-e0ec3bb64697	BUILDINGS	build		info(label-label,rdf(ENVO:00000073-building,rdfs:label,building-building^^xsd:string)-rdf(GCMD:d7742082-5461-4610-9ced-e0ec3bb64697-BUILDINGS,skos:prefLabel,(BUILDINGS-BUILDINGS)@en),stem)	
ENVO:00000077	agricultural feature	GCMD:38fb609b-2a10-4d4f-b2e8-7e51161ec974	AGRICULTURAL LANDS	agricultural land		info(related-label,rdf(ENVO:00000077-agricultural feature,oio:hasRelatedSynonym-has_related_synonym,agricultural land-agricultural land^^xsd:string)-rdf(GCMD:38fb609b-2a10-4d4f-b2e8-7e51161ec974-AGRICULTURAL LANDS,skos:prefLabel,(AGRICULTURAL LANDS-AGRICULTURAL LANDS)@en),stem)	
ENVO:00000091	beach	GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252	BEACHES	beach		info(exact-label,rdf(ENVO:00000091-beach,oio:hasExactSynonym-has_exact_synonym,Beach-Beach^^xsd:string)-rdf(GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252	BEACHES	beach		info(label-label,rdf(ENVO:00000091-beach,rdfs:label,beach-beach^^xsd:string)-rdf(GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252	BEACHES	beach		info(related-label,rdf(ENVO:00000091-beach,oio:hasRelatedSynonym-has_related_synonym,beach-beach^^xsd:string)-rdf(GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252	BEACHES	beach		info(related-label,rdf(ENVO:00000091-beach,oio:hasRelatedSynonym-has_related_synonym,beaches-beaches^^xsd:string)-rdf(GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252	BEACHES	beaches		info(related-label,rdf(ENVO:00000091-beach,oio:hasRelatedSynonym-has_related_synonym,beaches-beaches^^xsd:string)-rdf(GCMD:4ba798ce-ad0b-4809-94fa-ec1b8e294252-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),downcase)	
ENVO:00000091	beach	GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c	BEACHES	beach		info(exact-label,rdf(ENVO:00000091-beach,oio:hasExactSynonym-has_exact_synonym,Beach-Beach^^xsd:string)-rdf(GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c	BEACHES	beach		info(label-label,rdf(ENVO:00000091-beach,rdfs:label,beach-beach^^xsd:string)-rdf(GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c	BEACHES	beach		info(related-label,rdf(ENVO:00000091-beach,oio:hasRelatedSynonym-has_related_synonym,beach-beach^^xsd:string)-rdf(GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c	BEACHES	beach		info(related-label,rdf(ENVO:00000091-beach,oio:hasRelatedSynonym-has_related_synonym,beaches-beaches^^xsd:string)-rdf(GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),stem)	
ENVO:00000091	beach	GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c	BEACHES	beaches		info(related-label,rdf(ENVO:00000091-beach,oio:hasRelatedSynonym-has_related_synonym,beaches-beaches^^xsd:string)-rdf(GCMD:a61d1705-a6b7-4df3-9f8e-57e26029629c-BEACHES,skos:prefLabel,(BEACHES-BEACHES)@en),downcase)	
